Happiness1 by UK, country, region, UA/ County in England, LADs in England, UAs in Wales, LAs in Scotland, LGDs in Northern Ireland, April 2014 to March 20152,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Per cent in each category on 11 point scale3:;;;;Average (mean) rating;Confidence limits (95%);;;;;;;;;;;;;;;Sample size;;;;;;;;;;;
;;;;Low;Medium;High;Very High;;Low;;;Medium;;;High;;;Very High;;;Average (mean) rating;;;;;;;;;;;;;;
;;;;0-4;5-6;7-8;9-10;;0-4;;;5-6;;;7-8;;;9-10;;;;;;;;;;;;;;;;;
Area Codes;Area names;;;;;;;;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;;;;;;;;;;;;
K02000001;UNITED KINGDOM;;;8,93;16,68;40,28;34,11;7,46;1,07;8,75;9,12;0,76;16,43;16,93;0,41;39,95;40,61;0,48;33,78;34,43;0,10;7,45;7,47;165 160;;;;;;;;;;;
E92000001;ENGLAND;;;8,95;16,73;40,47;33,85;7,45;1,20;8,73;9,16;0,85;16,45;17,01;0,46;40,10;40,84;0,55;33,49;34,22;0,11;7,44;7,47;120 320;;;;;;;;;;;
E12000001;NORTH EAST;;;10,77;17,05;39,06;33,13;7,34;3,44;10,05;11,50;2,69;16,15;17,95;1,56;37,86;40,25;1,79;31,96;34,29;0,37;7,29;7,40;11 310;;;;;;;;;;;
E06000047;NORTH EAST;County Durham UA;;10,84;17,04;37,76;34,36;7,37;10,36;8,63;13,05;7,95;14,38;19,71;4,78;34,21;41,30;5,08;30,93;37,80;1,11;7,21;7,53;890;;;;;;;;;;;
E06000005;NORTH EAST;Darlington UA;;9,76;15,43;38,68;36,13;7,46;10,71;7,70;11,81;8,36;12,89;17,97;4,65;35,14;42,22;4,94;32,62;39,64;1,08;7,30;7,62;1 000;;;;;;;;;;;
E06000001;NORTH EAST;Hartlepool UA;;10,14;15,41;38,48;35,97;7,48;9,44;8,26;12,03;7,43;13,16;17,65;4,12;35,37;41,59;4,56;32,75;39,20;1,01;7,34;7,63;1 160;;;;;;;;;;;
E06000002;NORTH EAST;Middlesbrough UA;;12,17;17,23;38,06;32,54;7,28;11,86;9,33;15,01;7,83;14,58;19,88;4,32;34,83;41,28;5,20;29,21;35,87;1,34;7,09;7,47;1 060;;;;;;;;;;;
E06000048;NORTH EAST;Northumberland UA;;9,34;15,89;39,88;34,89;7,44;10,70;7,38;11,31;8,57;13,21;18,56;4,66;36,23;43,52;5,30;31,26;38,53;1,06;7,28;7,59;1 020;;;;;;;;;;;
E06000003;NORTH EAST;Redcar and Cleveland UA;;8,55;17,00;41,77;32,68;7,46;11,39;6,64;10,47;8,31;14,22;19,78;4,26;38,28;45,27;5,24;29,31;36,04;1,02;7,31;7,61;980;;;;;;;;;;;
E06000004;NORTH EAST;Stockton-on-Tees UA;;9,16;16,67;37,54;36,63;7,56;12,92;6,83;11,49;9,20;13,65;19,69;5,65;33,37;41,72;5,57;32,61;40,65;1,12;7,39;7,73;760;;;;;;;;;;;
E11000004;NORTH EAST;Tyne and Wear (Met County);;11,65;17,71;39,58;31,07;7,24;4,63;10,59;12,71;3,79;16,39;19,02;2,23;37,84;41,31;2,74;29,40;32,74;0,55;7,16;7,32;4 450;;;;;;;;;;;
E08000020;NORTH EAST;;Gateshead;11,40;17,38;40,45;30,78;7,25;10,50;9,04;13,75;8,86;14,35;20,40;4,61;36,78;44,11;5,96;27,17;34,39;1,21;7,08;7,42;860;;;;;;;;;;;
